Metric		Current
UNIT_SIZE_COMPONENT_MODELS_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_MODELS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_MODELS_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_MODELS_MEDIUM_RISK_LOC		23
UNIT_SIZE_COMPONENT_MODELS_MEDIUM_RISK_PERCENTAGE		48.94
UNIT_SIZE_COMPONENT_MODELS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_MODELS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_MODELS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_MODELS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_MODELS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_MODELS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_MODELS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_LOC		217
UNIT_SIZE_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_PERCENTAGE		46.47
UNIT_SIZE_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_COUNT		39
UNIT_SIZE_COMPONENT_CONTROLLERS_LOW_RISK_LOC		39
UNIT_SIZE_COMPONENT_CONTROLLERS_LOW_RISK_PERCENTAGE		8.35
UNIT_SIZE_COMPONENT_CONTROLLERS_LOW_RISK_COUNT		3
UNIT_SIZE_COMPONENT_CONTROLLERS_MEDIUM_RISK_LOC		100
UNIT_SIZE_COMPONENT_CONTROLLERS_MEDIUM_RISK_PERCENTAGE		21.41
UNIT_SIZE_COMPONENT_CONTROLLERS_MEDIUM_RISK_COUNT		4
UNIT_SIZE_COMPONENT_CONTROLLERS_HIGH_RISK_LOC		111
UNIT_SIZE_COMPONENT_CONTROLLERS_HIGH_RISK_PERCENTAGE		23.77
UNIT_SIZE_COMPONENT_CONTROLLERS_HIGH_RISK_COUNT		2
UNIT_SIZE_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROUTES_NEGLIGIBLE_RISK_LOC		15
UNIT_SIZE_COMPONENT_ROUTES_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_ROUTES_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ROUTES_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROUTES_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROUTES_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROUTES_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROUTES_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROUTES_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROUTES_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROUTES_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROUTES_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROUTES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROUTES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROUTES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		256
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		46.97
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		47
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		55
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		10.09
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		123
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		22.57
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		5
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		111
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		20.37
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		545
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		58
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_NEGLIGIBLE_RISK_LOC		16
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_NEGLIGIBLE_RISK_LOC		47
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_NEGLIGIBLE_RISK_COUNT		7
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_LOC		467
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_PERCENTAGE		100
